room,start time,end time,mean,std,min,median,max,sun,diff,preMean,preStd,preMin,preMedian,preMax,preSun,preDiff
1,2016/01/05 10:49:57,2016/01/05 10:50:52,228.49575,43.0773723427,107.73,230.805,326.7,2,218.97,241.15375,27.2633589308,177.39,237.4875,305.415,2,128.025
1,2016/01/05 10:50:52,2016/01/05 10:51:46,204.0045,36.2845578413,140.13,221.58,250.2,2,110.07,228.49575,43.0773723427,107.73,230.805,326.7,2,218.97
1,2016/01/05 10:51:47,2016/01/05 10:52:41,146.41225,5.42674834158,123.21,146.25,163.89,2,40.68,204.0045,36.2845578413,140.13,221.58,250.2,2,110.07
1,2016/01/05 10:52:41,2016/01/05 10:53:35,177.99025,44.5975432355,137.295,146.34,274.23,2,136.935,146.41225,5.42674834158,123.21,146.25,163.89,2,40.68
1,2016/01/05 10:53:36,2016/01/05 10:54:30,317.94025,78.9915378278,137.16,324.495,491.895,2,354.735,177.99025,44.5975432355,137.295,146.34,274.23,2,136.935
1,2016/01/05 10:54:30,2016/01/05 10:55:25,294.8925,95.5351542956,45.225,342.0,409.275,2,364.05,317.94025,78.9915378278,137.16,324.495,491.895,2,354.735
1,2016/01/05 10:55:25,2016/01/05 10:56:19,186.433,86.8877908692,21.87,153.405,402.705,2,380.835,294.8925,95.5351542956,45.225,342.0,409.275,2,364.05
1,2016/01/05 10:56:20,2016/01/05 10:57:14,152.072,30.5242562563,90.675,160.1775,198.945,2,108.27,186.433,86.8877908692,21.87,153.405,402.705,2,380.835
1,2016/01/05 10:57:14,2016/01/05 10:58:09,128.45975,36.9972889173,89.91,110.5875,208.98,2,119.07,152.072,30.5242562563,90.675,160.1775,198.945,2,108.27
1,2016/01/05 10:58:09,2016/01/05 10:59:03,185.20975,19.4655191155,103.815,188.6625,209.385,2,105.57,128.45975,36.9972889173,89.91,110.5875,208.98,2,119.07
1,2016/01/05 10:59:04,2016/01/05 10:59:58,235.358,99.3569158066,176.94,193.905,552.195,2,375.255,185.20975,19.4655191155,103.815,188.6625,209.385,2,105.57
1,2016/01/05 10:59:58,2016/01/05 11:00:52,287.05875,63.4843400254,170.73,267.165,520.11,2,349.38,235.358,99.3569158066,176.94,193.905,552.195,2,375.255
1,2016/01/05 11:00:52,2016/01/05 11:01:47,279.84175,3.26759096145,263.835,279.495,298.53,3,34.695,287.05875,63.4843400254,170.73,267.165,520.11,2,349.38
1,2016/01/05 11:01:47,2016/01/05 11:02:41,243.22975,80.4769869536,56.565,263.025,419.175,3,362.61,279.84175,3.26759096145,263.835,279.495,298.53,3,34.695
1,2016/01/05 11:02:41,2016/01/05 11:03:36,198.418,21.2079448365,154.8,196.7175,254.655,3,99.855,243.22975,80.4769869536,56.565,263.025,419.175,3,362.61
1,2016/01/05 11:03:36,2016/01/05 11:04:30,150.75275,37.5749005443,109.35,159.84,282.105,3,172.755,198.418,21.2079448365,154.8,196.7175,254.655,3,99.855
1,2016/01/05 11:04:30,2016/01/05 11:05:24,247.22075,69.4852528675,116.91,272.88,386.145,3,269.235,150.75275,37.5749005443,109.35,159.84,282.105,3,172.755
1,2016/01/05 11:05:25,2016/01/05 11:06:19,255.753,32.8672941543,166.23,265.77,295.11,3,128.88,247.22075,69.4852528675,116.91,272.88,386.145,3,269.235
1,2016/01/05 11:06:19,2016/01/05 11:07:14,238.27075,50.7524839981,120.015,261.0225,293.445,3,173.43,255.753,32.8672941543,166.23,265.77,295.11,3,128.88
1,2016/01/05 11:07:14,2016/01/05 11:08:08,170.206,39.979145899,125.28,176.445,244.215,3,118.935,238.27075,50.7524839981,120.015,261.0225,293.445,3,173.43
1,2016/01/05 11:08:09,2016/01/05 11:09:03,260.91825,80.2169026137,181.035,221.4675,444.015,3,262.98,170.206,39.979145899,125.28,176.445,244.215,3,118.935
1,2016/01/05 11:09:03,2016/01/05 11:09:57,406.586,53.4343161645,255.195,411.7275,502.38,3,247.185,260.91825,80.2169026137,181.035,221.4675,444.015,3,262.98
1,2016/01/05 11:09:58,2016/01/05 11:10:52,390.5315,81.1502181727,85.68,433.5525,457.02,3,371.34,406.586,53.4343161645,255.195,411.7275,502.38,3,247.185
1,2016/01/05 11:10:52,2016/01/05 11:11:47,380.869,93.433448828,73.575,409.3425,593.325,3,519.75,390.5315,81.1502181727,85.68,433.5525,457.02,3,371.34
1,2016/01/05 11:11:47,2016/01/05 11:13:46,264.40325,88.9729822205,31.68,276.12,460.71,3,429.03,380.869,93.433448828,73.575,409.3425,593.325,3,519.75
1,2016/01/05 11:13:46,2016/01/05 11:14:40,85.0895,45.478043395,35.46,60.075,202.32,3,166.86,264.40325,88.9729822205,31.68,276.12,460.71,3,429.03
